,misspecified_reward_value,kl_divergence_penalty,gamma,t_inv,q_cap,category,reward,utility,error
113,13,1.0,0.9666666666666667,0.38461538461538464,9.5,q_cap_soft,964.1371183395386,355.48091316223145,
114,20,1.0,0.9666666666666667,0.38461538461538464,9.5,q_cap_soft_high_reward,989.0154008865356,375.55793380737305,
115,13,,0.99,0.38461538461538464,9.5,q_cap,940.0094504356384,344.2535519003868,
116,13,1.0,0.99,0.38461538461538464,9.5,q_cap_soft,944.633704662323,373.4182479381561,
117,20,1.0,0.99,0.38461538461538464,9.5,q_cap_soft_high_reward,945.9678077697754,387.6446582078934,
118,13,,0.9,0.38461538461538464,10.0,q_cap,1028.979377746582,335.6435813307762,
119,13,1.0,0.9,0.38461538461538464,10.0,q_cap_soft,1052.621660232544,338.66081792116165,
120,20,1.0,0.9,0.38461538461538464,10.0,q_cap_soft_high_reward,1142.852967262268,351.20117300748825,
121,13,,0.9666666666666667,0.38461538461538464,10.0,q_cap,999.6072511672974,331.02375745773315,
122,13,1.0,0.9666666666666667,0.38461538461538464,10.0,q_cap_soft,1011.2611360549927,334.8411912918091,
123,20,1.0,0.9666666666666667,0.38461538461538464,10.0,q_cap_soft_high_reward,1038.639286518097,362.46924793720245,
124,13,,0.99,0.38461538461538464,10.0,q_cap,987.5627484321594,330.6768627166748,
125,13,1.0,0.99,0.38461538461538464,10.0,q_cap_soft,992.8243708610535,341.1919191479683,
126,20,1.0,0.99,0.38461538461538464,10.0,q_cap_soft_high_reward,995.1815376281738,371.30504167079926,
127,13,,0.9,0.38461538461538464,10.5,q_cap,1073.9118943214417,325.6431237459183,
128,13,1.0,0.9,0.38461538461538464,10.5,q_cap_soft,1096.484791278839,326.7294888496399,
129,20,1.0,0.9,0.38461538461538464,10.5,q_cap_soft_high_reward,1192.1729435920715,341.5658149719238,
130,13,,0.9666666666666667,0.38461538461538464,10.5,q_cap,1046.3856081962585,322.7974428534508,
131,13,1.0,0.9666666666666667,0.38461538461538464,10.5,q_cap_soft,1057.7209458351135,323.75324672460556,
132,20,1.0,0.9666666666666667,0.38461538461538464,10.5,q_cap_soft_high_reward,1087.55997133255,353.2761529684067,
133,13,,0.99,0.38461538461538464,10.5,q_cap,1035.0690126419067,322.6702122092247,
134,13,1.0,0.99,0.38461538461538464,10.5,q_cap_soft,1040.6159796714783,326.306391954422,
135,20,1.0,0.99,0.38461538461538464,10.5,q_cap_soft_high_reward,1044.1714596748352,360.4772801399231,
136,13,,0.9,0.38461538461538464,11.0,q_cap,1116.974398136139,319.7033618092537,
137,13,1.0,0.9,0.38461538461538464,11.0,q_cap_soft,1138.2814283370972,320.0442537665367,
138,20,1.0,0.9,0.38461538461538464,11.0,q_cap_soft_high_reward,1239.6684522628784,334.29856729507446,
139,13,,0.9666666666666667,0.38461538461538464,11.0,q_cap,1092.6479306221008,317.86497336626053,
140,13,1.0,0.9666666666666667,0.38461538461538464,11.0,q_cap_soft,1103.4823350906372,318.05045145750046,
141,20,1.0,0.9666666666666667,0.38461538461538464,11.0,q_cap_soft_high_reward,1135.9228501319885,346.28042608499527,
142,13,,0.99,0.38461538461538464,11.0,q_cap,1082.3891673088074,317.8003632426262,
143,13,1.0,0.99,0.38461538461538464,11.0,q_cap_soft,1087.9557824134827,319.4915949702263,
144,20,1.0,0.99,0.38461538461538464,11.0,q_cap_soft_high_reward,1092.9600205421448,352.7364366054535,
145,13,,0.9,0.38461538461538464,11.5,q_cap,1157.5831022262573,316.15530478954315,
146,13,1.0,0.9,0.38461538461538464,11.5,q_cap_soft,1177.3439435958862,316.48379427194595,
147,20,1.0,0.9,0.38461538461538464,11.5,q_cap_soft_high_reward,1285.7198991775513,328.4391319155693,
148,13,,0.9666666666666667,0.38461538461538464,11.5,q_cap,1138.1197862625122,314.71767622232437,
149,13,1.0,0.9666666666666667,0.38461538461538464,11.5,q_cap_soft,1148.4086713790894,315.0083785057068,
150,20,1.0,0.9666666666666667,0.38461538461538464,11.5,q_cap_soft_high_reward,1183.8167443275452,340.3694652915001,
151,13,,0.99,0.38461538461538464,11.5,q_cap,1129.3926811218262,314.60696560144424,
152,13,1.0,0.99,0.38461538461538464,11.5,q_cap_soft,1134.8090386390686,315.94727581739426,
153,20,1.0,0.99,0.38461538461538464,11.5,q_cap_soft_high_reward,1141.5648565292358,346.5516325831413,
154,13,,0.9,0.38461538461538464,12.0,q_cap,1194.2286939620972,313.9758687019348,
155,13,1.0,0.9,0.38461538461538464,12.0,q_cap_soft,1212.1706500053406,314.64360108971596,
156,20,1.0,0.9,0.38461538461538464,12.0,q_cap_soft_high_reward,1330.6539945602417,323.48436427116394,
157,13,,0.9666666666666667,0.38461538461538464,12.0,q_cap,1182.100417137146,312.6150931119919,
158,13,1.0,0.9666666666666667,0.38461538461538464,12.0,q_cap_soft,1192.0213356018066,313.26854452490807,
159,20,1.0,0.9666666666666667,0.38461538461538464,12.0,q_cap_soft_high_reward,1231.3161544799805,334.8660033941269,
160,13,,0.99,0.38461538461538464,12.0,q_cap,1175.7278943061829,312.39629551768303,
161,13,1.0,0.99,0.38461538461538464,12.0,q_cap_soft,1181.0827107429504,313.8882786035538,
162,20,1.0,0.99,0.38461538461538464,12.0,q_cap_soft_high_reward,1190.0123891830444,340.97078585624695,
163,13,,0.9,0.38461538461538464,12.5,q_cap,1223.6917309761047,312.6912985742092,
164,13,1.0,0.9,0.38461538461538464,12.5,q_cap_soft,1239.3396525382996,313.7446503043175,
165,20,1.0,0.9,0.38461538461538464,12.5,q_cap_soft_high_reward,1374.8405995368958,319.48446530103683,
166,13,,0.9666666666666667,0.38461538461538464,12.5,q_cap,1222.3664121627808,311.06413009762764,
167,13,1.0,0.9666666666666667,0.38461538461538464,12.5,q_cap_soft,1232.6366276741028,312.2493135035038,
168,20,1.0,0.9666666666666667,0.38461538461538464,12.5,q_cap_soft_high_reward,1278.4228911399841,329.4805900454521,
169,13,,0.99,0.38461538461538464,12.5,q_cap,1220.0660891532898,310.47980293631554,
170,13,1.0,0.99,0.38461538461538464,12.5,q_cap_soft,1226.2038655281067,312.6011873483658,
171,20,1.0,0.99,0.38461538461538464,12.5,q_cap_soft_high_reward,1238.3497047424316,335.4662917852402,
172,13,,0.9,0.38461538461538464,13.0,q_cap,1240.9722290039062,312.06474217772484,
173,13,1.0,0.9,0.38461538461538464,13.0,q_cap_soft,1254.1669182777405,313.4459123313427,
174,20,1.0,0.9,0.38461538461538464,13.0,q_cap_soft_high_reward,1418.6763730049133,316.20140528678894,
175,13,,0.9666666666666667,0.38461538461538464,13.0,q_cap,1248.6051626205444,309.8265261054039,
176,13,1.0,0.9666666666666667,0.38461538461538464,13.0,q_cap_soft,1260.6694173812866,311.8425115644932,
177,20,1.0,0.9666666666666667,0.38461538461538464,13.0,q_cap_soft_high_reward,1325.1499462127686,324.4909021258354,
178,13,,0.99,0.38461538461538464,13.0,q_cap,1251.5997886657715,307.74321725964546,
179,13,1.0,0.99,0.38461538461538464,13.0,q_cap_soft,1263.4540886878967,311.9674299955368,
180,20,1.0,0.99,0.38461538461538464,13.0,q_cap_soft_high_reward,1286.5699758529663,329.920197725296,
